id,name,chain_type,province,city,district,address,business_hours,phone,image,lat,lng
1350, 影石Insta360北京朝阳合生汇授权体验店,授权专卖店,北京市,市辖区,朝阳区,西大望路甲22号合生汇B2K03AB ,周一～周日10:00-22:00,15600389557,https://res.insta360.com/static/597299c5eb87c7948625184bb70390e3/%E5%8C%97%E4%BA%AC%E5%90%88%E7%94%9F%E6%B1%87%E6%8E%88%E6%9D%83%E4%B8%93%E5%8D%96%E5%BA%97.jpeg,39.899565,116.486372
1407,影石Insta360北京西单大悦城授权体验店,授权专卖店,北京市,市辖区,西城区,北京市西城区西单大悦城购物中心4层,10:00 - 22:00,18522323191,https://res.insta360.com/static/56c7605caddafb217326dd5d6256f441/1751194714927.jpg,39.916963,116.379306
1291,影石Insta360北京清河万象汇授权体验店,授权专卖店,北京市,市辖区,海淀区,清河中街68号/66号院1号楼万象汇一层L114 ,周一～周日10:00-22:00,19231189360,https://res.insta360.com/static/4d17dede42cba9cbdacedb94298620c7/20240506-143517.jpeg,40.035789,116.341954
1576,影石Insta360北京首都机场T3授权体验店,授权专卖店,北京市,市辖区,朝阳区,北京市朝阳区首都机场路首都国际机场,06:00-22:00,17610848823,https://res.insta360.com/static/1c2edb210c876d8f467a94b7900a72e7/%E5%8C%97%E4%BA%AC%E9%A6%96%E9%83%BD%E6%9C%BA%E5%9C%BA.jpg,40.09,116.61
1584,影石Insta360北京亦庄龙湖天街授权体验店,授权专卖店,北京市,市辖区,大兴区,北京市大兴区博兴八路与兴海路交叉口龙湖亦庄天街1F-30A影石Insta360,10:00-22:00,17610268200,https://res.insta360.com/static/18d95ee55d042d354b3c5db2301ef2df/%E5%8C%97%E4%BA%AC%E9%BE%99%E6%B9%96%E4%BA%A6%E5%BA%84.jpg,39.76,116.5
1570,影石Insta360北京SKP授权体验店,授权专卖店,北京市,市辖区,朝阳区,北京市朝阳区建国路87号北京SKPF5层D5297影石Insta360,10:00-22:00,18610474243,https://res.insta360.com/static/56d44c69c9c3ae7c2ffb7ef208a83837/20251104-182606.jpg,39.92,116.49
1460,影石Insta360北京三里屯太古里授权体验店,授权专卖店,北京市,市辖区,朝阳区,北京市朝阳区三里屯太古里西区W1-12,10:00-22:00,17301391892,https://res.insta360.com/static/cca5bb5fdbc5756b4a6bbb376004b8f6/mmexport1757206205790.jpg,39.94,116.46
1468,影石Insta360北京超极合生汇授权体验店,授权专卖店,北京市,市辖区,昌平区,北京市昌平区北清路超极合生汇lg2-72,10:00-22:00,15611127757,https://res.insta360.com/static/0fe8d7fc7f45e43b090da50232599b0d/IMG_20250910_151536.jpg,40.1,116.3
1536,北京合生汇授权体验店,授权专卖店,北京市,市辖区,朝阳区,北京市朝阳区西大望路甲22号合生汇B2K03AB,10:00-22:00,15600389557,https://res.insta360.com/static/a5e9bd9fd6f5675084162a4c50de39f7/20241121-190002.jpeg,39.9,116.49
1443,影石Insta360北京望京凯德授权体验店,授权专卖店,北京市,市辖区,朝阳区,北京市朝阳区望京凯德mall商场1层,10:00-22:00,13011809502,https://res.insta360.com/static/d6d7f37e57607b9c97b2730c9ef424ca/mmexport1755252659030.jpg,40.0,116.47
