business_area_id,name,province_code,city_code,district_code,province_name,city_name,district_name,center_lat,center_lng,mall_count,store_count
1,nan,530000,530500,530502,云南省,保山市,隆阳区,32.829258266962036,113.73530867059542,16807,19674
2,一对山,510000,510300,510302,四川省,自贡市,自流井区,29.337597,104.762624,1,0
3,一环东路,450000,450900,450902,广西壮族自治区,玉林市,玉州区,22.632019,110.1640685,1,1
4,丁字桥,420000,420100,420106,湖北省,武汉市,武昌区,30.5178979187954,114.32280520282963,3,9
5,丁字沽,120000,120100,120106,天津市,天津城区,红桥区,39.179373048230346,117.1660799138423,2,2
6,七一北路,140000,140900,140902,山西省,忻州市,忻府区,38.43229275,112.730933125,5,3
7,七宝,310000,310100,310112,上海市,上海城区,闵行区,31.16688406650385,121.36354022237077,3,50
8,七层楼,530000,532500,532501,云南省,红河哈尼族彝族自治州,个旧市,23.377458,103.156075,1,0
9,七政,230000,230100,230103,黑龙江省,哈尔滨市,南岗区,45.730077094539496,126.61641333992813,1,7
10,七星,330000,330600,330624,浙江省,绍兴市,新昌县,29.5090462968876,120.87961902113281,1,3
11,七星西路,350000,350200,350203,福建省,厦门市,思明区,24.481392074420874,118.09748014875542,1,9
12,七浦路,310000,310100,310106,上海市,上海城区,静安区,31.24720815456612,121.47698513077925,5,7
13,七里,510000,511300,511381,四川省,南充市,阆中市,31.547926,106.00587633333333,7,2
14,七里塘,340000,340100,340102,安徽省,合肥市,瑶海区,31.900556615384616,117.32262023076922,3,10
15,七里山,370000,370100,370103,山东省,济南市,市中区,36.62208230514046,117.00990069486588,1,4
16,七里桥,430000,430900,430903,湖南省,益阳市,赫山区,28.571488497001848,112.38182240566323,1,4
17,万东,500000,500100,500110,重庆市,重庆城区,綦江区,28.960189695966765,106.93323410697134,3,6
18,万安,510000,510100,510116,四川省,成都市,双流区,30.48804040320496,104.09314281230849,1,16
19,万寿路,610000,610100,610102,陕西省,西安市,新城区,34.26667832033616,109.01719074183275,1,11
20,万年场,510000,510100,510108,四川省,成都市,成华区,30.64962304138683,104.11669860967068,1,34
21,万新村,120000,120100,120102,天津市,天津城区,河东区,39.13044357058382,117.2832319857237,1,3
22,万春,510000,510100,510115,四川省,成都市,温江区,30.72202833333333,103.830969,3,0
23,万柳,110000,110100,110108,北京市,北京城区,海淀区,39.97254984534507,116.2986768260269,1,12
24,万格路,530000,530700,530724,云南省,丽江市,宁蒗彝族自治县,27.283131,100.852866,1,0
