store_id,brand,name,address,city,province,corrected_lat,corrected_lng,mall_name,mall_id,phone,business_hours,wechat_qr_code,store_type,opened_at,status,change_type
001727a1-1aef-43b4-84c9-6b8e65c628a1,DJI,临汾生龙悦享城授权体验店,山西省临汾市解放西路生龙悦享城一层F1-031,临汾市,山西省,36.09194,111.535552,生龙悠购天地,MALL_00031,16636340688,10:00-22:00,,授权体验店,2025-11-28,营业中,
0024e304-d6cc-4f92-ad53-0c219185e343,Insta360,影石Insta360深圳壹方城直营店,新安街道壹方城购物中心B2-054影石Insta360,深圳市,广东省,22.555615,113.898986,深圳前海壹方城,MALL_00007,19925294205,周一至周五 10:00-22:00 / 周六至周日 10:00-22:30,,直营店,historical,营业中,
00346c7a-f996-44ec-9e3e-12f8eb7a1100,DJI,昆明恒隆广场授权体验店,云南省昆明市盘龙区东风东路21号恒隆广场5楼L512商铺,昆明市,云南省,25.033964,102.724181,昆明恒隆广场,MALL_00194,0871-65129339,周一至周四 10:00-22:00 / 周五至周日 10:00-22:30,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/1-20251110115552.png,授权体验店,historical,营业中,
00483587-8bdf-4e3f-823c-addc8d14466e,Insta360,石家庄太和电子城珲安电子售点1,金桥北大街6号太和电子城一层F区40号,石家庄市,河北省,38.050691,114.496077,,,,,,合作体验点,historical,营业中,
009c08e2-b54e-4c3d-8719-c0409ad9b527,DJI,西宁海湖万达授权体验店,青海省西宁市城西区广场路1号海湖万达广场层1031号,西宁市,青海省,36.642569,101.717802,西宁海湖万达广场,MALL_00357,19997487750,10:00-22:00,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/1-20250609155315.png,授权体验店,historical,营业中,
00b048c3-e7c1-4106-9889-5e1dbad9d664,DJI,合肥焦平面罍街授权专区,包河区罍街4期南区7号楼103,合肥市,安徽省,31.821741,117.302505,,,13395605013,09:00-21:00,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/1-20250901192311.png,新型照材,historical,营业中,
00f49d1e-8e5b-4cfc-95d9-2e50dd56183f,DJI,合肥赛博数码广场专营店,安徽省合肥市黄山路与金寨路交口赛博数码黄金广场一楼1155,合肥市,安徽省,31.845284,117.278176,,,0551-63670236 / 13855107641,09:00-18:00,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%AE%89%E5%BE%BD%E7%A6%8F%E6%B5%B7-%E6%B1%AA%E4%B8%BD%E7%BA%A2-20230309160638.png,新型照材,historical,营业中,
01080a11-6c3e-44f0-b46e-b625e5af45ad,Insta360,大连沿河街店,沿河街4-5号雪狐雪具,大连市,辽宁省,38.908332,121.599681,,,,,,合作体验点,historical,营业中,
011dee3a-c57f-4d6b-9e7c-a13f98c87b88,Insta360,开市客宁波店,下应街道首南东路与启明南路交叉口东南角,宁波市,浙江省,29.801144,121.612977,,,,,,合作体验点,historical,营业中,
012f71f8-5054-494e-9c9e-cba7160cbf87,DJI,武汉光谷世界城授权体验店,湖北省武汉市洪山区珞喻路766号世界城广场一楼GC165\GC170铺位,武汉市,湖北省,30.516789,114.374882,世界城广场,MALL_00186,027-87654348,周一至周四 10:00-21:30 / 周五 10:00-22:00 / 周六 9:30-22:00 / 周日 9:30-21:30,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%AD%A6%E6%B1%89%E5%85%89%E8%B0%B7%E4%B8%96%E7%95%8C%E5%9F%8E%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97-20240109180519.png,授权体验店,historical,营业中,
0288d67d-371a-487d-97ef-f3ea048ae929,DJI,广西玉林万达授权体验专区,广西壮族自治区玉林市玉州区金玉路338号玉林万达广场1楼1078号,玉林市,广西壮族自治区,22.639005,110.191337,万达广场(玉林店),MALL_00411,19978916174,10:00-22:00,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%9B%BE%E7%89%87_231_06-20250122161536.jpeg,授权体验店,historical,营业中,
0289a3b9-d645-48cd-b16d-6b7ebac46175,DJI,西安西光雁塔路照材店,陕西省西安市碑林区雁塔北路78号西光摄影器材,西安市,陕西省,34.246581,108.96831,,,15389188742,09:00-18:00,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E9%99%95%E8%A5%BF%E8%A5%BF%E5%85%89-%E7%8E%8B%E7%A5%A5-20230309171331.png,新型照材,historical,营业中,
02c832bc-7a8d-497f-87d0-59f315e7c098,DJI,嘉兴八佰伴授权体验店,浙江省嘉兴市南湖区中山路1360号八佰伴购物中心一层L1080铺位,嘉兴市,浙江省,30.756115,120.737155,嘉兴八佰伴(中山路店),MALL_00384,0573-82825986 / 18067815263,周一至周四 10:00-22:00 / 周五至周日 09:30-22:30,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E5%98%89%E5%85%B4%E5%85%AB%E4%BD%B0%E4%BC%B4%E6%8E%88%E6%9D%83%E4%BD%93%E9%AA%8C%E5%BA%97-20240109175449.png,授权体验店,historical,营业中,
02ec49dd-8e0c-4c13-a9fd-b11811b85ca8,DJI,昆明泰亘佰腾数码广场照材店,云南省昆明市五华区圆通北路121号佰腾数码广场昆明店A座2楼A5A,昆明市,云南省,25.054177,102.707943,,,13678756835,9:00-18:00,https://terra-1-g.djicdn.com/ca21b7ff69f8434293e0bd434b8d4a54/customer/%E6%B3%B0%E4%BA%98-%E6%9D%8E%E4%BF%8A-20230309112601.png,新型照材,historical,营业中,
