uuid,brand,brand_slug,name,address,province,city,district,lat,lng,store_location_type,match_method,match_confidence,candidate_malls
803d6f7f-d839-409d-bb8b-00069fced05e,NIO,nio,蔚来中心 | 兰州黄河之滨,甘肃省兰州市七里河区秀川街道西津西路,甘肃省,兰州市,西固区,36.082725,103.671615,mall_store_no_match,no_candidate_but_has_hint,,"[{""mall_id"": ""MALL_00478"", ""mall_name"": ""\u5170\u5dde\u4e07\u8fbe\u8302"", ""mall_city"": ""\u5170\u5dde\u5e02"", ""mall_province"": ""\u7518\u8083\u7701"", ""distance_m"": 1154.5, ""city_matched"": true}, {""mall_id"": ""MALL_00238"", ""mall_name"": ""\u5170\u5dde\u4e2d\u5fc3"", ""mall_city"": ""\u5170\u5dde\u5e02"", ""mall_province"": ""\u7518\u8083\u7701"", ""distance_m"": 9394.5, ""city_matched"": true}, {""mall_id"": ""MALL_00381"", ""mall_name"": ""\u5170\u5dde\u4e07\u8c61\u57ce"", ""mall_city"": ""\u5170\u5dde\u5e02"", ""mall_province"": ""\u7518\u8083\u7701"", ""distance_m"": 15889.9, ""city_matched"": true}, {""mall_id"": ""MALL_00580"", ""mall_name"": ""\u4e07\u8fbe\u5e7f\u573a(\u5170\u5dde\u57ce\u5173\u5e97)"", ""mall_city"": ""\u5170\u5dde\u5e02"", ""mall_province"": ""\u7518\u8083\u7701"", ""distance_m"": 17345.4, ""city_matched"": true}]"
dac27c7c-ded2-4972-b480-b7e8739d858b,NIO,nio,蔚来体验中心 | 西安丈八,陕西省西安市雁塔区丈八街道丈八西路高科智慧智造园(建设中),陕西省,西安市,长安区,34.198815,108.858559,mall_store_no_match,,,"[{""mall_id"": ""MALL_00369"", ""mall_name"": ""\u897f\u5b89DT51"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 3035.2, ""city_matched"": true}, {""mall_id"": ""MALL_00220"", ""mall_name"": ""\u4e07\u8fbe\u5e7f\u573a(\u897f\u5b89\u9ad8\u65b0\u5e97)"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 3218.4, ""city_matched"": true}, {""mall_id"": ""MALL_00468"", ""mall_name"": ""\u4e2d\u5927\u56fd\u9645\u5546\u4e1a\u4e2d\u5fc3"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 4424.0, ""city_matched"": true}, {""mall_id"": ""MALL_00416"", ""mall_name"": ""\u897f\u5b89\u835f\u805a"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 4908.7, ""city_matched"": true}, {""mall_id"": ""MALL_00142"", ""mall_name"": ""\u897f\u5b89\u5927\u90fd\u835f"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 5398.4, ""city_matched"": true}]"
0243ce50-3526-4c66-99b1-9971679639bc,NIO,nio,蔚来中心 | 西安创意谷,陕西省西安市雁塔区曲江街道南三环辅路曲江云松间(建设中),陕西省,西安市,雁塔区,34.206223,109.004423,mall_store_no_match,,,"[{""mall_id"": ""MALL_00050"", ""mall_name"": ""\u66f2\u6c5f\u521b\u610f\u8c37"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 1044.4, ""city_matched"": true}, {""mall_id"": ""MALL_00631"", ""mall_name"": ""\u897f\u5b89\u66f2\u6c5f\u91d1\u6c60"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 1503.5, ""city_matched"": true}, {""mall_id"": ""MALL_00166"", ""mall_name"": ""\u66fc\u8482\u5e7f\u573a"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 3604.9, ""city_matched"": true}, {""mall_id"": ""MALL_00232"", ""mall_name"": ""\u897f\u5b89\u5927\u60a6\u57ce"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 4062.1, ""city_matched"": true}, {""mall_id"": ""MALL_00370"", ""mall_name"": ""\u897f\u5b89\u4e07\u8c61\u5929\u5730"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 4913.9, ""city_matched"": true}]"
b13aafb9-27ac-4fe4-925b-ee8bb5f74d8c,NIO,nio,蔚来体验中心 | 西安曲江,陕西省西安市雁塔区等驾坡街道浐河东路,陕西省,西安市,灞桥区,34.216021,109.048478,mall_store_no_match,,,"[{""mall_id"": ""MALL_00050"", ""mall_name"": ""\u66f2\u6c5f\u521b\u610f\u8c37"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 3302.1, ""city_matched"": true}, {""mall_id"": ""MALL_00359"", ""mall_name"": ""\u9f99\u6e56\u897f\u5b89\u9999\u918d\u5929\u8857"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 5250.9, ""city_matched"": true}, {""mall_id"": ""MALL_00631"", ""mall_name"": ""\u897f\u5b89\u66f2\u6c5f\u91d1\u6c60"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 5697.0, ""city_matched"": true}, {""mall_id"": ""MALL_00256"", ""mall_name"": ""\u897f\u5b89\u534e\u9633\u57ce\u8d2d\u7269\u4e2d\u5fc3"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 7394.0, ""city_matched"": true}, {""mall_id"": ""MALL_00166"", ""mall_name"": ""\u66fc\u8482\u5e7f\u573a"", ""mall_city"": ""\u897f\u5b89\u5e02"", ""mall_province"": ""\u9655\u897f\u7701"", ""distance_m"": 7587.4, ""city_matched"": true}]"
e0e12766-3798-471e-96ea-fe538178b4c9,NIO,nio,蔚来体验中心 | 银川德胜,,宁夏回族自治区,银川市,兴庆区,38.522746,106.307589,mall_store_no_match,,,"[{""mall_id"": ""MALL_00627"", ""mall_name"": ""\u94f6\u5ddd\u5efa\u53d1\u9605\u5f69\u57ce"", ""mall_city"": ""\u94f6\u5ddd\u5e02"", ""mall_province"": ""\u5b81\u590f\u56de\u65cf\u81ea\u6cbb\u533a"", ""distance_m"": 4614.8, ""city_matched"": true}, {""mall_id"": ""MALL_00221"", ""mall_name"": ""\u91d1\u51e4\u4e07\u8fbe\u5e7f\u573a"", ""mall_city"": ""\u94f6\u5ddd\u5e02"", ""mall_province"": ""\u5b81\u590f\u56de\u65cf\u81ea\u6cbb\u533a"", ""distance_m"": 6548.2, ""city_matched"": true}, {""mall_id"": ""MALL_00464"", ""mall_name"": ""\u65b0\u767e\u4e2d\u5fc3"", ""mall_city"": ""\u94f6\u5ddd\u5e02"", ""mall_province"": ""\u5b81\u590f\u56de\u65cf\u81ea\u6cbb\u533a"", ""distance_m"": 7155.2, ""city_matched"": true}, {""mall_id"": ""MALL_00213"", ""mall_name"": ""\u5efa\u53d1\u60a0\u9605\u57ce"", ""mall_city"": ""\u94f6\u5ddd\u5e02"", ""mall_province"": ""\u5b81\u590f\u56de\u65cf\u81ea\u6cbb\u533a"", ""distance_m"": 12096.4, ""city_matched"": true}]"
e266c352-5f17-4f63-a48a-13324ed845b7,NIO,nio,蔚来体验中心 | 德阳八角,,四川省,德阳市,旌阳区,31.063855,104.379559,mall_store_no_match,,,"[{""mall_id"": ""MALL_00616"", ""mall_name"": ""\u4e07\u8fbe\u5e7f\u573a"", ""mall_city"": ""\u5fb7\u9633\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 11135.3, ""city_matched"": true}]"
6e5c2508-341e-49e9-b0e9-1c6251f6b529,NIO,nio,蔚来中心 | 成都天府艺术公园,四川省成都市金牛区西华街道育新路保利堂悦,四川省,成都市,金牛区,30.7029,104.016546,mall_store_no_match,,,"[{""mall_id"": ""MALL_00575"", ""mall_name"": ""\u5929\u5e9c\u827a\u672f\u516c\u56ed"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 1114.0, ""city_matched"": true}, {""mall_id"": ""MALL_00344"", ""mall_name"": ""\u9f99\u6e56\u00b7\u897f\u5bb8\u5929\u8857"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 1576.1, ""city_matched"": true}, {""mall_id"": ""MALL_00091"", ""mall_name"": ""\u51ef\u5fb7\u5e7f\u573a\u00b7\u91d1\u725b2\u671f"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 2657.5, ""city_matched"": true}, {""mall_id"": ""MALL_00573"", ""mall_name"": ""\u91d1\u725b\u51ef\u5fb7\u5e7f\u573a"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 2676.4, ""city_matched"": true}, {""mall_id"": ""MALL_00491"", ""mall_name"": ""\u4e07\u8fbe\u5e7f\u573a(\u6210\u90fd\u91d1\u725b\u5e97)"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 5847.2, ""city_matched"": true}]"
c1e07827-bf79-4487-8702-db6d8873477f,NIO,nio,蔚来体验中心 | 成都锦江三圣乡,四川省成都市锦江区柳江街道琉新路潘家沟土地管护执勤岗,四川省,成都市,锦江区,30.582299,104.106429,mall_store_no_match,,,"[{""mall_id"": ""MALL_00111"", ""mall_name"": ""\u6210\u90fd\u94f6\u6cf0\u4e2d\u5fc3"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 3528.1, ""city_matched"": true}, {""mall_id"": ""MALL_00398"", ""mall_name"": ""\u6210\u90fdSKP"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 3748.9, ""city_matched"": true}, {""mall_id"": ""MALL_00571"", ""mall_name"": ""\u73af\u7403\u8d2d\u7269\u4e2d\u5fc3B\u9986"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 4214.8, ""city_matched"": true}, {""mall_id"": ""MALL_00525"", ""mall_name"": ""\u4eac\u4e1cMALL(\u6210\u90fd\u65b0\u5357\u4e2d\u5fc3\u5e97)"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 4636.6, ""city_matched"": true}, {""mall_id"": ""MALL_00499"", ""mall_name"": ""\u6210\u90fd\u79d1\u534e\u738b\u5e9c\u4e95"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 4753.5, ""city_matched"": true}]"
ce266b95-40fd-4ce5-819c-8903eb0be92d,NIO,nio,蔚来体验中心 | 成都高新机场路,四川省成都市武侯区石羊街道益园三路四川福顺汽车销售服务有限公司,四川省,成都市,武侯区,30.586746,104.028588,mall_store_no_match,,,"[{""mall_id"": ""MALL_00288"", ""mall_name"": ""\u4ec1\u548c\u65b0\u57ce"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 2278.9, ""city_matched"": true}, {""mall_id"": ""MALL_00601"", ""mall_name"": ""\u6210\u90fd\u60a0\u65b9\u5e7f\u573a"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 2408.5, ""city_matched"": true}, {""mall_id"": ""MALL_00571"", ""mall_name"": ""\u73af\u7403\u8d2d\u7269\u4e2d\u5fc3B\u9986"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 3895.0, ""city_matched"": true}, {""mall_id"": ""MALL_00111"", ""mall_name"": ""\u6210\u90fd\u94f6\u6cf0\u4e2d\u5fc3"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 3940.3, ""city_matched"": true}, {""mall_id"": ""MALL_00525"", ""mall_name"": ""\u4eac\u4e1cMALL(\u6210\u90fd\u65b0\u5357\u4e2d\u5fc3\u5e97)"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 3953.7, ""city_matched"": true}]"
daf6c15a-5027-497f-9a86-32c6301d5528,NIO,nio,蔚来中心 | 成都大源,四川省成都市武侯区桂溪街道天府四街成都教科院附属学校初中部(东区),四川省,成都市,锦江区,30.541689,104.039594,mall_store_no_match,no_candidate_but_has_hint,,"[{""mall_id"": ""MALL_00074"", ""mall_name"": ""\u4e16\u8c6a\u5e7f\u573a"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 1068.9, ""city_matched"": true}, {""mall_id"": ""MALL_00217"", ""mall_name"": ""\u6210\u90fd\u94f6\u6cf0\u57ce"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 1875.1, ""city_matched"": true}, {""mall_id"": ""MALL_00571"", ""mall_name"": ""\u73af\u7403\u8d2d\u7269\u4e2d\u5fc3B\u9986"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 3996.0, ""city_matched"": true}, {""mall_id"": ""MALL_00398"", ""mall_name"": ""\u6210\u90fdSKP"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 4236.8, ""city_matched"": true}, {""mall_id"": ""MALL_00601"", ""mall_name"": ""\u6210\u90fd\u60a0\u65b9\u5e7f\u573a"", ""mall_city"": ""\u6210\u90fd\u5e02"", ""mall_province"": ""\u56db\u5ddd\u7701"", ""distance_m"": 4783.7, ""city_matched"": true}]"
