uuid,brand,name,address,city,lat,lng,store_location_type,is_mall_store,match_method,token,candidate_mall_id,candidate_mall_name,distance_m,similarity,confidence,reason,candidates
1634f4c6-a62b-4288-887a-bda07c90d246,NIO,蔚来空间 | 北京顺义华联,北京市顺义区胜利街道站前南街6号红杉一品,北京市,40.123665,116.646599,mall_store,True,auto_medium,北京顺义华联,MALL_77FC07EE,北京华联顺义金街购物中心,708.6,80.0,mid,token=北京顺义华联,"[{""mall_id"": ""MALL_A0352907"", ""mall_name"": ""锦荟港"", ""distance_m"": 319.4, ""mall_city"": ""北京城区"", ""mall_addr"": ""胜利街道站前街3号院1号楼""}, {""mall_id"": ""MALL_A2A51FAB"", ""mall_name"": ""顺义隆华购物中心"", ""distance_m"": 453.0, ""mall_city"": ""北京城区"", ""mall_addr"": ""新顺南大街1号""}, {""mall_id"": ""MALL_A8E5C58D"", ""mall_name"": ""新世界百货"", ""distance_m"": 564.5, ""mall_city"": ""北京城区"", ""mall_addr"": ""新顺南大街18号""}, {""mall_id"": ""MALL_4040CD50"", ""mall_name"": ""隆华奥特莱斯购物广场"", ""distance_m"": 652.9, ""mall_city"": ""北京城区"", ""mall_addr"": ""贯通路东侧18号(石门地铁站C东南口步行110米)""}, {""mall_id"": ""MALL_77FC07EE"", ""mall_name"": ""北京华联顺义金街购物中心"", ""distance_m"": 708.6, ""mall_city"": ""北京城区"", ""mall_addr"": ""新顺南大街8号""}]"
9f3d1058-89d2-46ca-addd-5aab8bdef8a2,NIO,蔚来空间 | 上海世纪汇广场,上海市浦东新区潍坊新村街道潍坊三村,上海市,31.223186,121.519433,mall_store,True,auto_medium,上海世纪汇广场,MALL_F64E2A2B,九六广场,700.3,66.66666666666667,mid,token=上海世纪汇广场,"[{""mall_id"": ""MALL_B64D3511"", ""mall_name"": ""华润时代广场"", ""distance_m"": 464.2, ""mall_city"": ""上海城区"", ""mall_addr"": ""张杨路500号""}, {""mall_id"": ""MALL_2D04427F"", ""mall_name"": ""上海第一八佰伴"", ""distance_m"": 606.9, ""mall_city"": ""上海城区"", ""mall_addr"": ""张扬路501号八佰伴一楼(商城路地铁站3号口步行200米)""}, {""mall_id"": ""MALL_F64E2A2B"", ""mall_name"": ""九六广场"", ""distance_m"": 700.3, ""mall_city"": ""上海城区"", ""mall_addr"": ""陆家嘴东方路796号""}, {""mall_id"": ""MALL_68A2D93B"", ""mall_name"": ""巴黎春天"", ""distance_m"": 1646.2, ""mall_city"": ""上海城区"", ""mall_addr"": ""浦建路118号(塘桥地铁站2号口旁)""}, {""mall_id"": ""MALL_A8DB305D"", ""mall_name"": ""BFC外滩金融中心"", ""distance_m"": 2087.7, ""mall_city"": ""上海城区"", ""mall_addr"": ""中山东二路600号""}]"
26afdffd-d31b-4342-894f-54b0938fc634,Dior,,"东风东路21号 恒隆广场L112, L113a-L113b商铺 昆明市 云南省",昆明市,25.037014,102.721785,mall_store,True,auto_medium,东风东路21号 恒隆广场,MALL_431F0EC6,金俊广场,413.3,66.66666666666667,mid,token=东风东路21号 恒隆广场,"[{""mall_id"": ""MALL_431F0EC6"", ""mall_name"": ""金俊广场"", ""distance_m"": 413.3, ""mall_city"": ""昆明市"", ""mall_addr"": ""北京路与尚义街交叉口西南160米""}, {""mall_id"": ""MALL_C591E766"", ""mall_name"": ""汇都商业中心"", ""distance_m"": 567.7, ""mall_city"": ""昆明市"", ""mall_addr"": ""白塔路131号汇都国际商务中心C座""}, {""mall_id"": ""MALL_357A26C7"", ""mall_name"": ""C86山茶坊"", ""distance_m"": 698.9, ""mall_city"": ""昆明市"", ""mall_addr"": ""东风东路86号(拓东体育馆地铁站D口步行160米)""}, {""mall_id"": ""MALL_5D258036"", ""mall_name"": ""金鹰购物广场A座"", ""distance_m"": 702.0, ""mall_city"": ""昆明市"", ""mall_addr"": ""青年路418号(东风广场地铁站H口步行430米)""}, {""mall_id"": ""MALL_0E29CD12"", ""mall_name"": ""金鹰购物广场"", ""distance_m"": 809.2, ""mall_city"": ""昆明市"", ""mall_addr"": ""威远街168号金鹰购物广场B座""}]"
c1b0a2d6-3f29-4e5f-a8df-5f07d3d91d71,Popmart,广州琶洲保利,广东省广州市海珠区琶洲蟠龙新街2号保利广场购物中心一 层1032b 铺,广州市,23.136939,113.281883,mall_store,True,auto_medium,广东省广州市海珠区琶洲蟠龙新街2号保利广场,MALL_A37AA328,宜安广场,414.4,66.66666666666667,mid,token=广东省广州市海珠区琶洲蟠龙新街2号保利广场,"[{""mall_id"": ""MALL_A37AA328"", ""mall_name"": ""宜安广场"", ""distance_m"": 414.4, ""mall_city"": ""广州市"", ""mall_addr"": ""建设六马路33号(淘金地铁站A口步行460米)""}, {""mall_id"": ""MALL_80CBEA09"", ""mall_name"": ""丽柏广场"", ""distance_m"": 452.0, ""mall_city"": ""广州市"", ""mall_addr"": ""环市东路367号(淘金地铁站B口步行130米)""}, {""mall_id"": ""MALL_0E647DDE"", ""mall_name"": ""广州友谊商店"", ""distance_m"": 568.6, ""mall_city"": ""广州市"", ""mall_addr"": ""环市东路369号""}, {""mall_id"": ""MALL_1B96D96B"", ""mall_name"": ""中华广场"", ""distance_m"": 1243.7, ""mall_city"": ""广州市"", ""mall_addr"": ""中山三路33号""}, {""mall_id"": ""MALL_9CDD1965"", ""mall_name"": ""珠江·星火1926"", ""distance_m"": 1326.6, ""mall_city"": ""广州市"", ""mall_addr"": ""中山四路55号(地铁1号线农讲所站B出口)""}]"
712c0801-47ea-44ad-ab2b-c3a464229c9d,Popmart,广州番禺天河城店,广东省广州市番禺区汉溪大道东366号南村镇番禺天河城A区1楼112号POPMART店,广州市,23.003656,113.348035,mall_store,True,auto_medium,广州番禺天河城,MALL_A8F8EDD9,广州番禺万达广场,407.1,72.72727272727273,mid,token=广州番禺天河城,"[{""mall_id"": ""MALL_A8F8EDD9"", ""mall_name"": ""广州番禺万达广场"", ""distance_m"": 407.1, ""mall_city"": ""广州市"", ""mall_addr"": ""兴南大道120号""}, {""mall_id"": ""MALL_65EC19BE"", ""mall_name"": ""奥园国际中心·购物中心"", ""distance_m"": 460.7, ""mall_city"": ""广州市"", ""mall_addr"": ""汇智三路与万博二路交叉口西150米""}, {""mall_id"": ""MALL_37317655"", ""mall_name"": ""海印又一城"", ""distance_m"": 541.3, ""mall_city"": ""广州市"", ""mall_addr"": ""番禺大道北383号""}, {""mall_id"": ""MALL_F118E626"", ""mall_name"": ""海印又一城C座"", ""distance_m"": 662.9, ""mall_city"": ""广州市"", ""mall_addr"": ""番禺大道北383号""}, {""mall_id"": ""MALL_05E3D9D5"", ""mall_name"": ""时代芳华里CR8"", ""distance_m"": 1857.6, ""mall_city"": ""广州市"", ""mall_addr"": ""汉溪大道东182号汉溪长隆地铁站G出口""}]"
838d5974-2af3-4d27-ac34-e79549e046ff,Popmart,西安万象天地,陕西省西安市曲江新区雁展路1111号西安万象天地1F-L106商铺泡泡玛特,西安市,34.199008,108.951228,mall_store,True,auto_medium,西安万象天地,MALL_B3D412A8,西安万象城(生命之树),394.4,80.0,mid,token=西安万象天地,"[{""mall_id"": ""MALL_B3D412A8"", ""mall_name"": ""西安万象城(生命之树)"", ""distance_m"": 394.4, ""mall_city"": ""西安市"", ""mall_addr"": ""曲江新区长安南路2899号和雁展路交叉口东南侧""}, {""mall_id"": ""MALL_E829D22B"", ""mall_name"": ""银泰城"", ""distance_m"": 1454.6, ""mall_city"": ""西安市"", ""mall_addr"": ""雁塔南路410号""}, {""mall_id"": ""MALL_D3302A8F"", ""mall_name"": ""南飞鸿·乐荟中心"", ""distance_m"": 1810.0, ""mall_city"": ""西安市"", ""mall_addr"": ""朱雀南路1589号""}, {""mall_id"": ""MALL_23E3AFF5"", ""mall_name"": ""曼蒂广场"", ""distance_m"": 2056.9, ""mall_city"": ""西安市"", ""mall_addr"": ""雁南一路9号""}, {""mall_id"": ""MALL_73C53580"", ""mall_name"": ""西安大悦城"", ""distance_m"": 2189.1, ""mall_city"": ""西安市"", ""mall_addr"": ""慈恩路777号(大雁塔南广场西侧)""}]"
0a9000e8-e169-4a68-b7bf-2ab0c3d025df,Popmart,哈尔滨学府凯德店B1,黑龙江省哈尔滨市南岗区学府路1-1号学府凯德广场负一层08/09号泡泡玛特,哈尔滨市,45.724693,126.607944,mall_store,True,auto_medium,黑龙江省哈尔滨市南岗区学府路1-1号学府凯德广场,MALL_E31EF8EF,凯德广场·学府,396.7,72.72727272727273,mid,token=黑龙江省哈尔滨市南岗区学府路1-1号学府凯德广场,"[{""mall_id"": ""MALL_E31EF8EF"", ""mall_name"": ""凯德广场·学府"", ""distance_m"": 396.7, ""mall_city"": ""哈尔滨市"", ""mall_addr"": ""学府路1-1号""}, {""mall_id"": ""MALL_3B0AC7AF"", ""mall_name"": ""和兴商厦"", ""distance_m"": 1152.0, ""mall_city"": ""哈尔滨市"", ""mall_addr"": ""西大直街400号(和兴路地铁站2B口步行130米)""}, {""mall_id"": ""MALL_2601BFFA"", ""mall_name"": ""百特佰永乐购物广场学府经典店"", ""distance_m"": 1391.5, ""mall_city"": ""哈尔滨市"", ""mall_addr"": ""和兴路街道延兴路东路90号""}, {""mall_id"": ""MALL_E7062A5E"", ""mall_name"": ""凯德广场(埃德蒙顿路)"", ""distance_m"": 1566.4, ""mall_city"": ""哈尔滨市"", ""mall_addr"": ""埃德蒙顿路38号""}, {""mall_id"": ""MALL_13B3AFB0"", ""mall_name"": ""勇超商场"", ""distance_m"": 2280.5, ""mall_city"": ""哈尔滨市"", ""mall_addr"": ""西大直街120-12号""}]"
5ffb4a5a-9ad8-4a38-9853-22669572816f,Longchamp,昆明恒隆精品店,云南省昆明市盘龙区东风东路21号昆明恒隆广场商场L1层L101B铺位,昆明市,25.036434,102.722668,mall_store_no_match,True,no_candidate_but_has_hint,云南省昆明市盘龙区东风东路21号昆明恒隆广场,MALL_431F0EC6,金俊广场,460.8,66.66666666666667,mid,token=云南省昆明市盘龙区东风东路21号昆明恒隆广场,"[{""mall_id"": ""MALL_431F0EC6"", ""mall_name"": ""金俊广场"", ""distance_m"": 460.8, ""mall_city"": ""昆明市"", ""mall_addr"": ""北京路与尚义街交叉口西南160米""}, {""mall_id"": ""MALL_C591E766"", ""mall_name"": ""汇都商业中心"", ""distance_m"": 468.1, ""mall_city"": ""昆明市"", ""mall_addr"": ""白塔路131号汇都国际商务中心C座""}, {""mall_id"": ""MALL_357A26C7"", ""mall_name"": ""C86山茶坊"", ""distance_m"": 654.9, ""mall_city"": ""昆明市"", ""mall_addr"": ""东风东路86号(拓东体育馆地铁站D口步行160米)""}, {""mall_id"": ""MALL_5D258036"", ""mall_name"": ""金鹰购物广场A座"", ""distance_m"": 809.6, ""mall_city"": ""昆明市"", ""mall_addr"": ""青年路418号(东风广场地铁站H口步行430米)""}, {""mall_id"": ""MALL_0E29CD12"", ""mall_name"": ""金鹰购物广场"", ""distance_m"": 917.3, ""mall_city"": ""昆明市"", ""mall_addr"": ""威远街168号金鹰购物广场B座""}]"
b7c2927e-5469-4ee5-97e7-ca7451075c0c,Hugo Boss,BOSS大连百年城黑牌,辽宁省大连市中山区青泥洼桥街道武汉街43号中山区青泥洼桥小学,大连市,38.917144,121.641259,mall_store,True,auto_medium,BOSS大连百年城,MALL_A3246E4C,大连银泰城,435.0,60.0,mid,token=BOSS大连百年城,"[{""mall_id"": ""MALL_59E7C7AB"", ""mall_name"": ""大都会快速时尚中心"", ""distance_m"": 278.4, ""mall_city"": ""大连市"", ""mall_addr"": ""武汉街71号(友好广场地铁站A口步行340米)""}, {""mall_id"": ""MALL_A3246E4C"", ""mall_name"": ""大连银泰城"", ""distance_m"": 435.0, ""mall_city"": ""大连市"", ""mall_addr"": ""解放路19号(友好广场地铁站A口步行320米)""}, {""mall_id"": ""MALL_0EF1F1BB"", ""mall_name"": ""大连地下商场"", ""distance_m"": 517.6, ""mall_city"": ""大连市"", ""mall_addr"": ""青泥洼桥街道青泥洼桥8号""}, {""mall_id"": ""MALL_CD2B58D0"", ""mall_name"": ""大连商场"", ""distance_m"": 579.6, ""mall_city"": ""大连市"", ""mall_addr"": ""青三街1号(青泥洼桥地铁站H2口步行230米)""}, {""mall_id"": ""MALL_CC5916E3"", ""mall_name"": ""大连商场北楼"", ""distance_m"": 590.4, ""mall_city"": ""大连市"", ""mall_addr"": ""青泥街新玛特购物休闲广场(友好街店)""}]"
8ee34c38-4755-42ed-9aaf-374fcc4c649d,Hugo Boss,BOSS上海佛罗伦萨奥特莱斯,中国上海浦东新区卓耀路58号 佛罗伦萨奥特莱斯H14-H16,上海市,31.194625,121.769123,mall_store,True,auto_medium,BOSS上海佛罗伦萨奥特莱斯,MALL_E5C72D3E,上海佛罗伦萨小镇(上海名品奥特莱斯),476.9,60.0,mid,token=BOSS上海佛罗伦萨奥特莱斯,"[{""mall_id"": ""MALL_E5C72D3E"", ""mall_name"": ""上海佛罗伦萨小镇(上海名品奥特莱斯)"", ""distance_m"": 476.9, ""mall_city"": ""上海城区"", ""mall_addr"": ""卓耀路58弄1-365号""}, {""mall_id"": ""MALL_E550344D"", ""mall_name"": ""百联川沙购物中心"", ""distance_m"": 6852.6, ""mall_city"": ""上海城区"", ""mall_addr"": ""川沙路5398号""}, {""mall_id"": ""MALL_52C76D5E"", ""mall_name"": ""比斯特上海购物村"", ""distance_m"": 10437.5, ""mall_city"": ""上海城区"", ""mall_addr"": ""申迪东路88号""}, {""mall_id"": ""MALL_AFCB5611"", ""mall_name"": ""招商花园城"", ""distance_m"": 13003.2, ""mall_city"": ""上海城区"", ""mall_addr"": ""曹路镇顾唐路99号(顾唐路地铁站2号口步行260米)""}, {""mall_id"": ""MALL_E01C886E"", ""mall_name"": ""汇智国际商业中心"", ""distance_m"": 15964.5, ""mall_city"": ""上海城区"", ""mall_addr"": ""金科路3057号(金科路地铁站2号口旁)""}]"
